insert into pedidos (numero, codcliente, datapedido, total) values
(87, 5247, '2/1/2020', 15040),
(88, 5552, '1/5/2020', 22613),
(89, 5114, '24/11/2020', 3317),
(90, 5854, '2/3/2021', 39885),
(91, 5970, '3/10/2020', 48384),
(92, 5708, '28/4/2022', 4609),
(93, 5882, '9/9/2021', 20273),
(94, 5199, '8/4/2020', 28806),
(95, 5027, '8/11/2020', 35966),
(96, 5608, '4/2/2022', 37771),
(97, 5626, '23/10/2022', 15692),
(98, 5072, '20/7/2022', 28266),
(99, 5580, '13/12/2020', 1321),
(100, 5328, '14/11/2021', 17106),
(101, 5051, '19/1/2020', 48423),
(102, 5931, '6/11/2022', 22848),
(103, 5484, '3/7/2022', 15097),
(104, 5281, '26/11/2022', 18384),
(105, 5588, '28/6/2020', 10430),
(106, 5868, '1/9/2022', 13211),
(107, 5964, '13/9/2022', 20651),
(108, 5701, '24/1/2022', 14427),
(109, 5454, '13/1/2020', 11785),
(110, 5196, '20/10/2022', 9316),
(111, 5088, '13/9/2021', 4204),
(112, 5169, '26/9/2021', 45281),
(113, 5065, '20/4/2021', 44058),
(114, 5987, '16/4/2021', 35888),
(115, 5005, '21/3/2020', 15489),
(116, 5501, '13/7/2022', 7655),
(117, 5125, '8/11/2021', 13318),
(118, 5294, '15/5/2020', 4785),
(119, 5596, '5/12/2020', 44583),
(120, 5564, '25/1/2020', 43524),
(121, 5831, '24/7/2022', 40175),
(122, 5160, '15/10/2021', 29451),
(123, 5434, '23/10/2020', 11166),
(124, 5407, '18/6/2022', 1841),
(125, 5745, '15/10/2021', 24443),
(126, 5180, '4/2/2022', 40445),
(127, 5492, '17/8/2021', 11245),
(128, 5672, '28/9/2021', 25593),
(129, 5399, '7/11/2020', 40929),
(130, 5199, '8/3/2021', 49537),
(131, 5189, '8/10/2022', 22862),
(132, 5831, '20/11/2020', 36107),
(133, 5512, '4/5/2021', 2755),
(134, 5104, '21/1/2020', 44571),
(135, 5860, '26/11/2021', 910),
(136, 5585, '22/8/2022', 17464),
(137, 5600, '6/11/2021', 31380),
(138, 5408, '28/2/2020', 34262),
(139, 5013, '24/9/2021', 26528),
(140, 5577, '23/1/2020', 27394),
(141, 5964, '2/9/2022', 45767),
(142, 5201, '11/4/2020', 27289),
(143, 5443, '21/9/2020', 28141),
(144, 5568, '16/8/2021', 27752),
(145, 5953, '9/2/2021', 40797),
(146, 5618, '26/4/2020', 5011),
(147, 5373, '14/11/2022', 3859),
(148, 5238, '13/6/2021', 15241),
(149, 5217, '17/6/2020', 14038),
(150, 5236, '5/9/2021', 9706),
(151, 5687, '22/2/2020', 8665),
(152, 5930, '15/6/2021', 31979),
(153, 5024, '6/8/2022', 16978),
(154, 5201, '5/1/2022', 21957),
(155, 5414, '7/1/2021', 25147),
(156, 5134, '19/7/2020', 40829),
(157, 5495, '25/12/2022', 38394),
(158, 5336, '14/2/2021', 49992),
(159, 5597, '18/7/2020', 48924),
(160, 5201, '13/12/2021', 3509),
(161, 5477, '1/4/2021', 40578),
(162, 5643, '16/1/2021', 16329),
(163, 5961, '7/12/2022', 23289),
(164, 5709, '4/8/2020', 8363),
(165, 5556, '21/6/2021', 23038),
(166, 5849, '9/9/2021', 32545),
(167, 5359, '21/5/2020', 30143),
(168, 5866, '16/8/2022', 16636),
(169, 5519, '14/12/2022', 43619),
(170, 5576, '22/11/2021', 26184),
(171, 5765, '26/8/2022', 17774),
(172, 5217, '25/4/2020', 43235),
(173, 5375, '21/7/2020', 49206),
(174, 5758, '26/6/2020', 49475),
(175, 5303, '3/10/2020', 31658),
(176, 5198, '28/8/2022', 43560),
(177, 5225, '24/4/2020', 17494),
(178, 5008, '11/8/2021', 19826),
(179, 5622, '25/2/2020', 44504),
(180, 5726, '11/4/2021', 49488),
(181, 5945, '22/7/2020', 48915),
(182, 5000, '6/5/2020', 3917),
(183, 5369, '15/3/2020', 36978),
(184, 5515, '13/1/2021', 14411),
(185, 5878, '11/8/2021', 22972),
(186, 5849, '2/8/2020', 30839),
(187, 5688, '22/11/2021', 11683),
(188, 5162, '5/1/2020', 25767),
(189, 5526, '7/7/2021', 32203),
(190, 5728, '6/1/2020', 21426),
(191, 5317, '1/4/2020', 12584),
(192, 5400, '12/9/2020', 39115),
(193, 5916, '13/7/2020', 25102),
(194, 5718, '10/7/2020', 24392),
(195, 5265, '16/12/2020', 25093),
(196, 5273, '12/9/2020', 1997),
(197, 5030, '6/2/2020', 2876),
(198, 5287, '24/10/2022', 2223),
(199, 5739, '1/4/2021', 1208),
(200, 5336, '23/2/2020', 4640),
(201, 5994, '5/1/2022', 37733),
(202, 5438, '5/5/2022', 34687),
(203, 5578, '21/11/2020', 14211),
(204, 5686, '22/2/2020', 7783),
(205, 5242, '6/4/2021', 27325),
(206, 5064, '22/6/2020', 6405),
(207, 5809, '9/6/2020', 650),
(208, 5488, '18/7/2022', 25408),
(209, 5751, '23/6/2022', 15657),
(210, 5273, '21/4/2021', 16746),
(211, 5667, '15/5/2022', 7884),
(212, 5445, '3/7/2020', 31891),
(213, 5765, '15/9/2021', 45538),
(214, 5272, '8/1/2021', 10176),
(215, 5053, '27/6/2020', 36771),
(216, 5319, '21/8/2022', 20660),
(217, 5565, '16/5/2021', 20596),
(218, 5464, '16/12/2020', 13008),
(219, 5015, '6/9/2022', 42230),
(220, 5011, '23/9/2020', 4299),
(221, 5776, '16/11/2021', 35736),
(222, 5293, '27/7/2022', 43906),
(223, 5574, '24/12/2021', 21695),
(224, 5220, '27/4/2022', 4081),
(225, 5346, '16/11/2022', 8078),
(226, 5854, '21/1/2020', 37901),
(227, 5161, '13/11/2020', 7852),
(228, 5393, '25/10/2021', 4180),
(229, 5476, '23/6/2022', 24214),
(230, 6000, '28/7/2021', 37521),
(231, 5765, '9/11/2022', 3793),
(232, 5128, '27/3/2022', 13812),
(233, 5190, '8/11/2022', 49219),
(234, 5545, '23/3/2022', 49558),
(235, 5246, '23/12/2021', 38043),
(236, 5831, '15/1/2020', 32265),
(237, 5659, '9/6/2021', 31130),
(238, 5335, '7/2/2020', 4286),
(239, 5629, '23/6/2022', 41574),
(240, 5858, '1/5/2020', 19231),
(241, 5227, '25/6/2021', 33142),
(242, 5024, '5/3/2022', 33337),
(243, 5007, '22/4/2020', 30767),
(244, 5628, '24/3/2020', 26526),
(245, 5859, '2/3/2022', 36533),
(246, 5614, '3/6/2021', 15522),
(247, 5066, '19/2/2022', 1435),
(248, 5314, '8/3/2020', 18423),
(249, 5008, '20/6/2020', 26219),
(250, 5256, '21/6/2022', 43755),
(251, 5404, '19/9/2020', 8718),
(252, 5301, '7/6/2020', 31354),
(253, 5002, '24/2/2021', 10390),
(254, 5458, '22/7/2020', 1905),
(255, 5336, '20/11/2020', 41137),
(256, 5846, '2/1/2022', 11014),
(257, 5541, '7/3/2020', 12143),
(258, 5186, '20/5/2022', 6414),
(259, 5447, '23/11/2021', 39358),
(260, 5599, '8/12/2022', 15503),
(261, 5334, '13/2/2020', 39671),
(262, 5539, '11/8/2022', 39837),
(263, 5756, '17/1/2021', 3329),
(264, 5797, '2/3/2022', 43623),
(265, 5021, '15/12/2022', 30187),
(266, 5387, '18/6/2020', 3749),
(267, 5486, '23/12/2021', 36162),
(268, 5686, '11/5/2021', 48290),
(269, 5184, '6/10/2020', 43603),
(270, 5583, '16/12/2020', 6714),
(271, 5695, '9/5/2020', 33879),
(272, 5747, '15/1/2022', 18888),
(273, 5388, '17/9/2022', 44607),
(274, 5965, '3/3/2022', 27039),
(275, 5973, '26/5/2021', 40478),
(276, 5138, '18/8/2021', 21649),
(277, 5127, '20/11/2021', 39264),
(278, 5383, '17/6/2021', 20399),
(279, 5679, '25/7/2021', 15719),
(280, 5188, '11/11/2020', 431),
(281, 5161, '1/7/2022', 5493),
(282, 5521, '28/7/2020', 28593),
(283, 5160, '24/7/2021', 18801),
(284, 5618, '13/6/2022', 4679),
(285, 5216, '11/5/2021', 11318),
(286, 5428, '23/12/2021', 23544),
(287, 5584, '10/10/2020', 4947),
(288, 5363, '13/3/2020', 49850),
(289, 5507, '25/5/2021', 49239),
(290, 5667, '4/10/2021', 19155),
(291, 5627, '9/4/2022', 9169),
(292, 5321, '6/4/2021', 37526),
(293, 5272, '15/2/2020', 13005),
(294, 5050, '4/4/2020', 19275),
(295, 5897, '8/3/2021', 20468),
(296, 5965, '11/8/2021', 46883),
(297, 5161, '14/4/2022', 28671),
(298, 5402, '28/12/2020', 23255),
(299, 5240, '19/4/2020', 11637),
(300, 5935, '13/2/2020', 9767),
(301, 5180, '23/10/2020', 27179),
(302, 5532, '9/3/2021', 31674),
(303, 5427, '26/2/2020', 17046),
(304, 5839, '10/5/2022', 1649),
(305, 5975, '3/4/2022', 10422),
(306, 5630, '14/3/2022', 48616),
(307, 5436, '3/1/2021', 32768),
(308, 5193, '4/1/2022', 4173),
(309, 5086, '6/8/2022', 25762),
(310, 5751, '1/9/2020', 5511),
(311, 5820, '1/4/2021', 16021),
(312, 5616, '16/6/2021', 17678),
(313, 5999, '28/11/2020', 19715),
(314, 5632, '26/11/2022', 4169),
(315, 5468, '10/9/2022', 25308),
(316, 5958, '1/8/2022', 16891),
(317, 5244, '21/11/2021', 40073),
(318, 5985, '5/6/2021', 13308),
(319, 5722, '26/7/2021', 10033),
(320, 5365, '23/10/2021', 23449),
(321, 5137, '22/1/2022', 47009),
(322, 5872, '7/4/2021', 7938),
(323, 5974, '28/4/2021', 20413),
(324, 5910, '24/3/2022', 14268),
(325, 5610, '8/6/2020', 17429),
(326, 5671, '20/10/2021', 37429),
(327, 5233, '12/3/2022', 43323),
(328, 5015, '15/7/2020', 25737),
(329, 5830, '15/6/2020', 2833),
(330, 5836, '19/9/2021', 46874),
(331, 5547, '28/4/2021', 38828),
(332, 5472, '18/9/2022', 31043),
(333, 5314, '23/2/2021', 4444),
(334, 5077, '12/9/2022', 47248),
(335, 5034, '5/1/2020', 45406),
(336, 5283, '1/1/2021', 42241),
(337, 5070, '18/2/2021', 9733),
(338, 5985, '26/10/2021', 28387),
(339, 5680, '17/12/2021', 22259),
(340, 5751, '4/1/2021', 5233),
(341, 5956, '9/3/2020', 29922),
(342, 5744, '2/12/2021', 6476),
(343, 5717, '26/8/2021', 6004),
(344, 5576, '1/1/2022', 42832),
(345, 5909, '25/5/2022', 46765),
(346, 5109, '11/1/2020', 47716),
(347, 5162, '5/12/2021', 48129),
(348, 5880, '19/9/2021', 16337),
(349, 5183, '13/9/2022', 6579),
(350, 5728, '21/12/2020', 43891),
(351, 5281, '27/5/2021', 28900),
(352, 5839, '13/1/2021', 48917),
(353, 5809, '10/4/2022', 3975),
(354, 5270, '24/9/2021', 34900),
(355, 5549, '16/4/2022', 18091),
(356, 5424, '7/7/2021', 20262),
(357, 5609, '3/9/2020', 2361),
(358, 5714, '25/8/2020', 38108),
(359, 5856, '17/7/2021', 34474),
(360, 5735, '18/11/2020', 26855),
(361, 5332, '13/1/2021', 38140),
(362, 5851, '20/1/2020', 26074),
(363, 5770, '12/3/2020', 11185),
(364, 5084, '1/1/2020', 43193),
(365, 5158, '7/10/2020', 12112),
(366, 5027, '16/6/2021', 37712),
(367, 5623, '10/11/2022', 30066),
(368, 5361, '27/3/2020', 43142),
(369, 5305, '25/7/2021', 22804),
(370, 5506, '18/10/2020', 30403),
(371, 5407, '11/11/2022', 31088),
(372, 5601, '17/5/2020', 26039),
(373, 5021, '5/12/2020', 45182),
(374, 5857, '20/11/2021', 15557),
(375, 5752, '10/5/2021', 11124),
(376, 5318, '7/1/2022', 31468),
(377, 5352, '13/9/2020', 44347),
(378, 5265, '10/11/2022', 42704),
(379, 5298, '11/3/2020', 49504),
(380, 5906, '20/10/2020', 13110),
(381, 5557, '2/12/2022', 8148),
(382, 5161, '1/7/2021', 49595),
(383, 5990, '5/8/2022', 28025),
(384, 5247, '8/6/2022', 19426),
(385, 5438, '2/7/2022', 23826),
(386, 5633, '22/2/2020', 45317),
(387, 5749, '26/11/2022', 4857),
(388, 5751, '11/6/2020', 19754),
(389, 5808, '12/3/2022', 21592),
(390, 5057, '25/2/2020', 16738),
(391, 5151, '8/5/2021', 7489),
(392, 5288, '24/9/2020', 11116),
(393, 5461, '12/8/2022', 11297),
(394, 5983, '5/4/2021', 10339),
(395, 5620, '7/4/2021', 24543),
(396, 5517, '22/1/2021', 48770),
(397, 5029, '28/7/2020', 12686),
(398, 5447, '19/8/2022', 33195),
(399, 5418, '11/11/2020', 49717),
(400, 5827, '10/4/2020', 2120),
(401, 5134, '5/4/2022', 16096),
(402, 5574, '21/6/2021', 46966),
(403, 5196, '23/9/2022', 47526),
(404, 5794, '22/2/2020', 41639),
(405, 5438, '25/1/2020', 8699),
(406, 5518, '10/9/2022', 2878),
(407, 5167, '3/4/2022', 15259),
(408, 5971, '9/11/2021', 7505),
(409, 5852, '9/7/2022', 27592),
(410, 5291, '13/3/2021', 33546),
(411, 5558, '2/8/2022', 25430),
(412, 5762, '1/12/2020', 49482),
(413, 5831, '23/4/2020', 27950),
(414, 5358, '28/2/2022', 16684),
(415, 5041, '26/3/2022', 37178),
(416, 5460, '12/9/2020', 42528),
(417, 5539, '18/4/2022', 28990),
(418, 5626, '19/5/2022', 48359),
(419, 5871, '26/10/2021', 1756),
(420, 5511, '10/4/2020', 15258),
(421, 5170, '4/11/2021', 7316),
(422, 5949, '20/10/2021', 46545),
(423, 5838, '15/5/2022', 12995),
(424, 5158, '11/4/2022', 46959),
(425, 5383, '1/12/2020', 24967),
(426, 5992, '23/10/2021', 33926),
(427, 5777, '28/3/2020', 15389),
(428, 5925, '2/2/2022', 46090),
(429, 5822, '13/9/2021', 6856),
(430, 5328, '25/7/2021', 27700),
(431, 5170, '5/8/2022', 48228),
(432, 5949, '19/3/2021', 776),
(433, 5789, '2/4/2022', 36380),
(434, 5205, '3/5/2021', 21662),
(435, 5738, '25/4/2022', 35087),
(436, 5648, '4/5/2020', 34339),
(437, 5132, '8/1/2021', 44359),
(438, 5953, '28/8/2020', 18329),
(439, 5758, '10/8/2020', 10707),
(440, 5149, '20/6/2020', 28913),
(441, 5442, '17/2/2020', 26897),
(442, 5728, '10/4/2020', 18362),
(443, 5451, '6/10/2021', 41378),
(444, 5354, '14/8/2021', 20502),
(445, 5444, '5/6/2022', 47678),
(446, 5011, '28/2/2021', 21234),
(447, 5974, '3/10/2022', 12084),
(448, 5259, '7/9/2021', 45717),
(449, 5291, '10/4/2020', 47990),
(450, 5801, '22/4/2021', 5149),
(451, 5789, '5/5/2021', 49070),
(452, 5833, '6/5/2022', 19579),
(453, 5303, '28/1/2020', 30716),
(454, 5801, '19/3/2020', 4159),
(455, 5660, '10/2/2021', 31624),
(456, 5069, '17/9/2022', 9835),
(457, 5156, '14/2/2022', 20501),
(458, 5662, '24/7/2021', 22936),
(459, 5349, '5/11/2022', 17864),
(460, 5309, '27/11/2021', 40081),
(461, 5198, '25/1/2020', 20410),
(462, 5507, '15/8/2022', 5180),
(463, 5611, '15/10/2020', 37109),
(464, 5854, '7/10/2022', 9149),
(465, 5450, '26/9/2020', 6520),
(466, 5269, '21/2/2020', 45712),
(467, 5444, '18/4/2020', 44925),
(468, 5349, '25/1/2020', 8985),
(469, 5874, '1/2/2020', 47082),
(470, 5865, '9/2/2021', 38767),
(471, 5013, '23/7/2022', 29947),
(472, 5844, '1/9/2022', 35685),
(473, 5134, '13/12/2020', 23752),
(474, 5771, '28/2/2020', 28720),
(475, 5463, '13/11/2022', 44135),
(476, 5808, '20/5/2022', 13483),
(477, 5002, '26/11/2022', 7110),
(478, 5022, '27/12/2022', 46383),
(479, 5179, '26/10/2021', 20539),
(480, 5501, '12/7/2022', 48259),
(481, 5274, '18/2/2020', 4785),
(482, 5418, '7/10/2022', 10547),
(483, 5098, '13/1/2022', 20521),
(484, 5212, '1/3/2021', 1921),
(485, 5014, '24/1/2022', 43232),
(486, 5864, '4/4/2020', 41287),
(487, 5904, '6/2/2022', 18049),
(488, 5555, '20/9/2020', 38682),
(489, 5927, '26/2/2020', 24157),
(490, 5779, '21/6/2022', 16656),
(491, 5386, '7/6/2020', 17167),
(492, 5148, '23/2/2022', 3771),
(493, 5013, '20/9/2021', 5807),
(494, 5764, '23/3/2021', 33957),
(495, 5819, '11/6/2022', 39292),
(496, 5995, '9/2/2022', 18261),
(497, 5868, '12/1/2020', 23274),
(498, 5065, '26/7/2022', 37526),
(499, 5985, '4/11/2021', 25853),
(500, 5844, '12/9/2021', 45752),
(501, 5105, '18/9/2022', 33812),
(502, 5738, '26/3/2021', 41494),
(503, 5809, '3/5/2020', 27550),
(504, 5986, '17/12/2021', 40398),
(505, 5969, '7/11/2022', 16557),
(506, 5254, '23/11/2021', 25547),
(507, 5310, '26/6/2020', 7346),
(508, 5261, '3/9/2021', 46781),
(509, 5036, '25/10/2021', 29043),
(510, 5884, '10/8/2020', 13228),
(511, 5541, '7/1/2021', 16362),
(512, 5321, '11/5/2022', 16384),
(513, 5828, '13/2/2020', 7485),
(514, 5818, '7/7/2022', 32150),
(515, 5552, '26/11/2022', 21987),
(516, 5803, '28/2/2022', 41421),
(517, 5657, '10/6/2022', 28665),
(518, 5677, '9/2/2022', 43748),
(519, 5316, '20/8/2020', 3021),
(520, 5590, '25/2/2022', 40930),
(521, 5512, '6/5/2022', 21196),
(522, 5165, '17/5/2020', 9725),
(523, 5319, '26/9/2020', 4816),
(524, 5797, '18/2/2020', 3784),
(525, 5680, '12/9/2022', 228),
(526, 5988, '19/6/2021', 37577),
(527, 5656, '16/10/2020', 23997),
(528, 5965, '13/1/2021', 5903),
(529, 5201, '28/6/2022', 38587),
(530, 5481, '24/2/2021', 41512),
(531, 5471, '22/5/2021', 28244),
(532, 5034, '5/2/2021', 49664),
(533, 5753, '11/3/2022', 4874),
(534, 5994, '24/7/2020', 19735),
(535, 5452, '8/12/2021', 19020),
(536, 5886, '27/3/2021', 2579),
(537, 5530, '18/4/2021', 34543),
(538, 5104, '22/1/2022', 49322),
(539, 5289, '24/1/2022', 43303),
(540, 5175, '9/5/2020', 44018),
(541, 5142, '20/8/2021', 44991),
(542, 5162, '23/5/2021', 16168),
(543, 5659, '6/12/2020', 26530),
(544, 5569, '12/4/2022', 20228),
(545, 5339, '4/9/2021', 35887),
(546, 5489, '7/7/2020', 43294),
(547, 5715, '16/10/2020', 37286),
(548, 5669, '7/2/2020', 29718),
(549, 5413, '13/12/2022', 42585),
(550, 5289, '21/10/2021', 9880),
(551, 5557, '22/7/2021', 27452),
(552, 5453, '22/8/2021', 34563),
(553, 5113, '9/8/2020', 14385),
(554, 5412, '28/6/2020', 1545),
(555, 5200, '16/4/2022', 33295),
(556, 5135, '6/8/2022', 34870),
(557, 5873, '24/3/2021', 25061),
(558, 5954, '23/10/2021', 4550),
(559, 5529, '26/8/2020', 32225),
(560, 5212, '1/4/2021', 3240),
(561, 5927, '7/10/2021', 49482),
(562, 5853, '19/10/2022', 12266),
(563, 5011, '26/1/2022', 22093),
(564, 5014, '10/3/2021', 18184),
(565, 5848, '15/5/2022', 47736),
(566, 5884, '20/8/2022', 29681),
(567, 5506, '17/8/2020', 46866),
(568, 5184, '10/10/2022', 49768),
(569, 5249, '7/5/2021', 9657),
(570, 5993, '13/9/2021', 20305),
(571, 5129, '17/5/2022', 26578),
(572, 5896, '7/3/2022', 42024),
(573, 5759, '8/8/2021', 29170),
(574, 5389, '20/1/2020', 35681),
(575, 5358, '16/6/2022', 16789),
(576, 5018, '18/4/2022', 39304),
(577, 5736, '5/10/2022', 20876),
(578, 5933, '27/4/2021', 45716),
(579, 5898, '10/4/2021', 42703),
(580, 5143, '25/12/2022', 44481),
(581, 5247, '26/8/2020', 26222),
(582, 5478, '18/7/2022', 8648),
(583, 5705, '15/4/2021', 39847),
(584, 5351, '6/12/2021', 24122),
(585, 5764, '13/12/2022', 18565),
(586, 5066, '5/7/2020', 10312),
(587, 5232, '7/10/2021', 24362),
(588, 5236, '13/1/2020', 26411),
(589, 5095, '26/11/2020', 34081),
(590, 5334, '28/5/2021', 30389),
(591, 5498, '9/2/2021', 32862),
(592, 5249, '20/8/2020', 43626),
(593, 5659, '19/9/2021', 13643),
(594, 5679, '20/12/2020', 15582),
(595, 5210, '2/1/2021', 6996),
(596, 5556, '20/5/2022', 5151),
(597, 5334, '16/7/2020', 43939),
(598, 5769, '20/4/2022', 45799),
(599, 5428, '24/3/2021', 35727),
(600, 5705, '1/6/2020', 44122),
(601, 5960, '11/1/2020', 15178),
(602, 5356, '7/12/2022', 49775),
(603, 5255, '16/4/2021', 32919),
(604, 5309, '16/8/2021', 44073),
(605, 5320, '3/7/2022', 38721),
(606, 5837, '15/12/2021', 15509),
(607, 5108, '27/6/2020', 35553),
(608, 5500, '6/4/2020', 33959),
(609, 5448, '4/8/2021', 26984),
(610, 5889, '6/4/2020', 14496),
(611, 5443, '13/11/2021', 49471),
(612, 5794, '13/5/2022', 19762),
(613, 5793, '2/7/2021', 15886),
(614, 5286, '15/10/2022', 42875),
(615, 5826, '11/2/2022', 36992),
(616, 5160, '12/11/2021', 16788),
(617, 5223, '5/11/2022', 18683),
(618, 5582, '13/12/2021', 18444),
(619, 5078, '23/11/2020', 6740),
(620, 5631, '8/4/2022', 47094),
(621, 5260, '20/8/2020', 39125),
(622, 5724, '27/3/2022', 39163),
(623, 5763, '27/10/2022', 38335),
(624, 5281, '11/7/2022', 9526),
(625, 5772, '18/8/2022', 11959),
(626, 5108, '16/3/2021', 10308),
(627, 5674, '19/7/2021', 24929),
(628, 5290, '17/9/2022', 16027),
(629, 5069, '17/11/2022', 2698),
(630, 5267, '25/6/2021', 40409),
(631, 5949, '6/2/2021', 3790),
(632, 5558, '2/1/2021', 1728),
(633, 5049, '27/3/2021', 811),
(634, 5027, '28/7/2021', 48224),
(635, 5036, '14/11/2021', 12108),
(636, 5689, '21/6/2022', 27042),
(637, 5123, '11/4/2020', 40698),
(638, 5605, '5/2/2020', 12360),
(639, 5034, '13/7/2021', 29194),
(640, 5661, '25/3/2020', 2899),
(641, 5195, '24/6/2022', 20372),
(642, 5103, '22/1/2022', 47912),
(643, 5435, '14/2/2020', 377),
(644, 5505, '22/8/2022', 20346),
(645, 5325, '18/5/2020', 32970),
(646, 5499, '21/9/2020', 47859),
(647, 5773, '5/8/2022', 2191),
(648, 5131, '21/3/2022', 17738),
(649, 5041, '23/1/2022', 32032),
(650, 5401, '25/3/2020', 46958),
(651, 5113, '1/5/2022', 32025),
(652, 5277, '21/7/2022', 45638),
(653, 5457, '7/11/2020', 22951),
(654, 5045, '23/7/2021', 49060),
(655, 5412, '20/12/2021', 20416),
(656, 5736, '2/10/2020', 23146),
(657, 5015, '7/11/2022', 5917),
(658, 5263, '5/4/2021', 6184),
(659, 5023, '20/2/2021', 26444),
(660, 5929, '26/2/2022', 39559),
(661, 5536, '10/10/2021', 31999),
(662, 5528, '24/6/2022', 29307),
(663, 5905, '10/1/2022', 9469),
(664, 5767, '25/1/2022', 24341),
(665, 5102, '27/10/2022', 9560),
(666, 5663, '28/11/2021', 7156),
(667, 5159, '12/10/2021', 5523),
(668, 5545, '6/3/2021', 39275),
(669, 5617, '28/11/2020', 44044),
(670, 5273, '21/3/2020', 25776),
(671, 5343, '11/1/2022', 25691),
(672, 5784, '1/9/2021', 35297),
(673, 5148, '17/11/2020', 31088),
(674, 5957, '15/4/2021', 36032),
(675, 5878, '16/4/2021', 3836),
(676, 5667, '8/12/2021', 38560),
(677, 5774, '2/7/2021', 11836),
(678, 5584, '6/6/2021', 47439),
(679, 5500, '19/4/2020', 28716),
(680, 5429, '21/10/2022', 34371),
(681, 5301, '19/12/2022', 15726),
(682, 5623, '28/3/2022', 36979),
(683, 5436, '21/1/2020', 22776),
(684, 5226, '1/3/2021', 7366),
(685, 5492, '16/5/2020', 15125),
(686, 5061, '20/6/2020', 1959),
(687, 5323, '5/9/2022', 39168),
(688, 5556, '20/7/2020', 259),
(689, 5068, '23/11/2021', 38584),
(690, 5625, '22/8/2022', 47429),
(691, 5694, '24/2/2022', 26299),
(692, 5352, '15/7/2022', 37305),
(693, 5838, '6/10/2022', 11561),
(694, 5600, '5/2/2022', 8759),
(695, 5725, '8/9/2021', 25708),
(696, 5810, '17/6/2020', 49415),
(697, 5095, '6/2/2021', 11053),
(698, 5297, '18/1/2021', 35138),
